text,label,notes
"Solving ""Feel-Dumb"" Moments (the Machine Guarding technique)

Here’s how we solved a huge problem that led to players feeling dumb, frustrated, and mad at themselves… When they should have been mad at us.

Faeria is a unique strategy cardgame where players build the board they play on each match. Most of your focus is on the cards you’re playing, but you also can use the “power wheel” once each turn to build a new land or gain a resource (like drawing an extra card).

This god power is free, so you should always use it. It’s easy to remember to use it in the early game, because you need to make lands for your creatures to walk on. You couldn’t do anything else yet.

However once players had the initial lands they needed and more units to consider on each turn, they started forgetting to use their free power.

When they realized they’d lost out on a free land, card, or resource for no reason – they felt dumb, and mad at themselves for it. It was easy for them to start saying, “I’m not cut out for this game” and quit.

This was not the skill we wanted to test. This was a game about how you used your resources, not whether you remembered to use them.

We tried everything to help players remember. We tried flashing the wheel, we tried audio callouts, we tried heavily emphasizing the wheel during the tutorials, we added text reminders and more.

Nothing worked... Until I remembered an idea from Industrial Manufacturing.

To prevent mistakes around a dangerous machine, you don’t JUST train workers to not make mistakes: You design the machine so the mistakes become impossible.

One technique for this is called, ""Machine Guarding"". If you need to hold down two buttons on the side of a machine to get it to run, your hands CANNOT also be inside the machine while it’s running.",mechanic_design,very difficult
"Why Devs fight to preserve Irrelevant Options (and how to fix it)
A few days ago I posted here about the Machine Guarding technique. I talked about how this idea from industrial manufacturing helped our team solve one of the game's peristent annoyances, and how it was a huge win that had no meaningful downside. It's as close to ""strictly better"" an improvement as you can get.

Which was why it was surprising how most of the team was strongly opposed to the idea at the time.

Part 1 - Loss of Agency

When I proposed that solution, most of the team was concerned that we were removing an option from players. ""What if they want to end their turn without using the power wheel? Your change makes that impossible. We'll be losing depth and denying players agency.""

Humans have a natural cognitive bias to preserving options. Losing options restricts our freedom, so imagining that loss feels bad. Even if the option is completely irrelevant, meaning you'll never choose it in practice, people are reluctant to lose out.

This often hits designers hard when considering simplifications to their game, because they know the option currently exists... But when players show up, they don't know that there used to be a way to end your turn without taking an action on the power wheel. They just accept it as one of the natural rules of the game. You can't skip drawing a card at the start of your turn, you can't skip using the power wheel either. Same as in chess, you've got to make a move. That's part of the strategy.

After talking about it for a while without much progress, we decided to do a test: Fr the next 2 weeks, people would post in the team chat every time they intentionally ended their turn without using the power wheel...",design_theory,very difficult
"Torn on having a loop timer. What is your preference?

For the last 8 or so months I've been working on a game that is structurally similar to Blue Prince in which you draw rooms from a deck and choose the order in which you place them. There are a number of deltas (Specific room types, rooms that are different shapes and sizes, etc) but the core is pretty consistent, build a layout, obtain knowledge, solve puzzles.

I'm also a huge fan of escape rooms, having done pretty much every one of them in my area as well as all of the ""box"" ones I've been able to find!

This has left me a bit conflicted in terms of a core mechanic of the game. Should there be a timer?

Escape Rooms have timers and they are all about solving riddles and puzzles. Blue Prince on the other hand did not have a timer but instead opted to have a soft room to room limit with steps, which allows players to sit in a single room and think or write down details about a puzzle for as long as they want.

The game overall is a Sci-Fi game with a bit of a spooky/horror understand and a pretty dark storyline, at least aspects of it are.

The way I have it setup right now is that the timer is Oxygen, but it is a soft timer as there are oxygen tanks you can obtain throughout the run to increase the overall time. Largely trying to balance a run to be in the ""up to"" 30 minutes range.

On one side, this adds a bit of pressure and gives you a hard limit on how long you can explore before needing to reset with whatever you've learned. On the other side, it makes it harder to ""Write down"" information as you discover it and forces you make certain decisions like skipping through earlier rooms to give yourself more time in the later rooms.",mechanic_design,easy
"Spatial Audio recognition - My white whale

Hello,

I posted this on r/gamedev a couple weeks ago but since it's design related I thought it might be interesting here as well.

I just released my first game two weeks ago and I couldn't be more relieved to finally be able to check that off the bucket list! However, the game I released yesterday is not the game that I set out to design nearly two years ago and was a valuable (but informative!) lesson about biting off more than I can chew, as well as how sometimes the game you set out to design isn't the one that you end up getting. It's far too early for any sort of ""postmortem"", but I wanted to share about my struggle with my MAIN mechanic and how I finally surrendered to letting the game become what it was supposed to be, rather than forcing a square peg into a round hole.

My original intent was to create a game where you sat in the middle of a 5 x 5 grid and used true spatial audio recognition, with the player's eyes ""closed"" to be able to determine the position of a ghost in the room. You would then use those audio clues in order to solve some sort of puzzle. I thought it would be cool to have players use their ears to solve a logic puzzle rather than relying on visual cues. At that time, I wasn't sure what the puzzle would be, but the mechanic was enough for me to get started on it.

For reference from here on out, here is the layout of the grid. Space 12 (marked with a ""C"") is the center of the room where the player sits. The player's ""forward"" is up, toward the 10. I sure hope this shows up correctly pasted as it is. If it doesn't, imagine a 5x5 grid, 0 in the top left corner, incrementing downward, along the column.",dev_process,very difficult
"We're making a game about controlling time and traveling through eras: Vikings, cyberpunk, ancient Egypt, the Wild West. Would love your honest take.

We're a tiny team, literally two people, working on KUTO: The Lock of Time. It's a single-player action game built around bending time. It's still rough (early alpha), which is honestly why I'm posting now instead of later. I'd rather hear what's not working while we can still change it.

The setup: you play Kuto, who jumps between eras, and each one is a completely different world. Post-apocalypse, vikings, a cyberpunk city, the Wild West, ancient Egypt, sci-fi. It's not a reskin each time. The enemies, pacing and threats change with the era (a few are in the gallery).

Time isn't a side gadget here. It's the thing you actually play with. There are five Time Keys, and each one lets you cheat reality a different way:

Recall: rewind a few seconds. Blow a jump and you just wind it back instead of reloading.

Dilation: slow everything down. Bullet-time for tight platforming and fast enemies.

Leap: a long dash forward through time, gets you to spots normal movement can't reach.

Fracture: gravity stops behaving. Walk on ceilings, arenas flip, new routes open up.

Stillness: freeze everything around you while you keep moving.

Right now we're heads-down on a single demo level, short but properly polished, that teaches all of this without dumping a tutorial on you.

So here's why I'm actually here: does the setting click for you? Does ""hop between eras and bend time"" sound like something you'd play, or does it feel done to death? Anything you'd cut or change? Be honest, we'll read all of it.",dev_process,easy
"I second guess myself every other step in the design/ development process, is this normal?

As the title says, I second guess myself in the design / development process a lot - often times I come up with a design for a prototype mvp or prototype a piece of the mvp and by the time i'm done with the implementation and I have it testable, I feel disconnected from the experience and fail to see 'the point' the fun or the vision that sparked it. Often times I don't get to have playtesters especially new playtesters to try it, and more often than that they are just pieces so trying them out wouldn't do much good unless it's at least one coherent gameplay loop or unless i explain the context thoroughly so they can imagine it (which i find questionable). I just want to know if this is a normal part of the process and I should just be pushing through hoping by the time I complete a loop it's gonna somehow work out, or if it's like a sign that i'm not on the right path. The fear is that testing and retesting has taken the fun out of the game and i cant see the game for the systems (the forest for the trees) how do you guys handle this? I've also prototyped and playtested quite extensively in a attempt to feel like i've 'probed the possibility space' diligently enough and each version did shed light on some good or unexpected ideeas / potential paths to pursue and also overall left me kind of numb to everything unless it genuinely combines something that can trigger my own curiosity. I guess another way to frame it is: should triggering my own curiosity be the benchmark or treated as a equivallent of triggering the player's curiosity? help...",dev_process,easy
"We needed players to be able to kill nobles without losing. We solved it with medieval indulgences.

We had a design problem we ran into on our latest prototype and I'd like feedback on the solution.

The game is a food-taster sim. You inspect dishes for poison before they go to the noble court. The fail state is three minor mistakes, or one major mistake, the major one being a noble dies on your watch. Either gets you sent to the executioner.

It’s called Your Meal, My Lord, and you can check it out on itch: https://chaostheorygames.itch.io/your-meal-my-lord

Playtesters pretty quickly decided they wanted to kill the king. Some on purpose, some out of curiosity. The fail state was triggering when the player was having the most fun.

While researching medieval church practices for unrelated character flavour, we came up with the idea for indulgences. For anyone unfamiliar with the history, the medieval Catholic Church sold pre-emptive forgiveness for sins. You paid up front, sinned later, and the books were balanced. A well-documented real thing which sounds bonkers.

I now have an Indulgence as a consumable you can buy. It is a small golden badge that sits on the player's workbench. If the player would otherwise get executed, the Indulgence is consumed, and their strikes reset to zero.

What I like about it:

The fail state is preserved. You can still die. The Indulgence doesn't trivialise death, it makes it a resource problem.

Crime becomes a budget. Players plan murders around their Indulgence supply. The question shifts from ""should I do this"" to ""can I afford to do this."" Closer to the player experience we wanted.",mechanic_design,somewhat difficult
"What are people's thoughts on cheating the player?

To clarify I mean situations where information or rules (explicit or implicit) are broken to engage the player.

I believe the role of a Game Designers is to give players an experience, typically a positive one, but sometimes a negative one. I believe the way we go about this really shouldn't matter to players (within reason), but I see a lot of pushback from people online when they find out they've been cheated?

Cheating can work for or against the player. Something like Assassin's Creed's nonlinear healthbar where the last pip is worth significantly more is cheating for the player. Your health remains unchanged, but the amount of time on the brink of death is maximised. On the other hand Mario Kart uses rubber banding, speeding up AI far behind to keep the race close and competitive, which is when the game is most fun. Players don't actually want to drive solo while the CPU trail them. Other examples are the bullet hitboxes in Bloodborne, which massively favour the player.

Players seem to congratulate the former for being smart psychology while complaining about the latter for being unfair. All my experience is with singleplayer games, and I know multiplayer games has a much stronger expectation of balance and parity between players. I believe Gears of War multiplayer gave new players a 25% damage boost because ""experienced players can use the active reload to gain more damage anyway"".

What are people's thoughts on these kind of techniques? Are players just angry because they accidentally got a peek behind the mirror, or should we avoid using them where possible?",design_theory,easy
"Are endless collectible items interesting or just a frustrating waste of currency in online games/apps?

For context, my team and I are developing a gamified language learning app. We recently realized we had a classic game design problem on our hands: players are earning coins for completing lessons, but there is absolutely no currency sink. We have an economy, but nothing to spend the money on.

I pitched an idea to my team to introduce a digital collection system, specifically, a shop where players can buy unlockable eggs that hatch into various animals, accompanied by collectible cards that include the animal's name, country of origin, etc. The goal is to give long term utility to the coins and create a satisfying reward loop that keeps learners motivated to study daily.

However, I want to understand the mechanics and psychology behind this before we actually code it create the images, so we can build something truly engaging rather than just a cheap add-on.

This leads me to a few questions:

When creating a collectible shop, is it better to have a realistic ""cap"" (e.g 100 items where you can actually complete the collection) or a massive, practically unreachable cap, such as 100 per month, increasing by 100 each month until it reaches a value that isn't infinite, but is actually quite high?

What makes unlimited items feel valuable rather than just a cheap tactic to drain currency?

How do you balance the frequency with which a user can buy a new item without breaking the game's economy?

Any insights, resources, or examples of games that do this well would be hugely appreciated!",mechanic_design,easy
"When players are given the choice to be good or evil, they always choose to be good. Are there any games that manage to prevent this? The title might be a bit of an exaggeration, but I’ve been gaming for about 20 years and have been watching others play for a long time. What I've noticed is that if given a choice, almost everyone chooses to be a good character, at least during their first playthrough. In fact, a BioWare producer mentioned on Twitter that 92% of Mass Effect players chose to be Paragon (the good character). And although I can't find the source, apparently Peter Molyneux once said something like this: 'My prediction is: all you guys, you’re just gonna be nice. Sickeningly, sycophantically nice to each other. And it makes me sick, because you know, in a game like Fable, we spent hours; we spent months, months and years crafting the evil side of Fable, and only ten percent of people actually did the evil side. Come on. You’re supposed to be gamers' And it’s not just Mass Effect or Fable. Even many non-RPG games without a formal morality system, I see that people always chose to be the good guy.

Is there a game where the player struggles to choose when the game asks: 'Do you want to be a hero loved by everyone, or someone who breaks the laws and oppresses the innocent?' The only exception that comes to my mind is Frostpunk. Even though the game doesn’t have an explicit morality system, unless you play exceptionally well, you are sometimes forced to make 'evil' decisions because being 'good' could cause you to lose the game. Are there any other games like this?",player_experience,easy
"Looking for feedback on a domino-based roguelite game idea

Hi! I’m working on a small roguelite game built around dominoes, and I’d love to get some feedback from other game design people.

The core idea is a Balatro-like structure, but instead of poker hands, the player builds chains of domino tiles. Each round starts with an “enemy domino” already placed on the board, so the player can’t freely start with their strongest tile every time. The player has a hand of dominoes, a few scoring attempts, and a few rerolls/discards per round. After scoring, the played dominoes go to the discard pile and the hand is refilled.

During a run, the player can add new dominoes, remove weak ones, upgrade tiles, change their numbers, and apply special types or conditions to them. For example, a damaged domino could be harder to use but give a stronger scoring bonus, while a stained domino could have one erased side that counts as any number. I’m thinking of these types as a way to make individual tiles more interesting than just “a domino with two numbers.”

The part I’m still unsure about is how to make the moment-to-moment gameplay more fun and less like simply placing matching numbers. I want the game to create interesting decisions: when to score, when to extend the chain, when to sacrifice a good tile, when to build around a weird modifier, etc.

Do you have any ideas for mechanics that could make domino-based gameplay more engaging? Especially ideas for scoring rules, enemy pressure, tile types, risk/reward systems, or ways to make each run feel different would be very helpful.",mechanic_design,easy
"How to make non-winners not feel like losers

I built a daily game called Off By. Each day you get five questions about real-world numbers, and you lock in each guess with a slider. It then shows how far off you were - from the crowd and from the real number. It resets every day at midnight EDT, so you get a fresh set of questions each morning.

The premise is ""Can you beat the crowd?"" After you answer the five questions, you get a results screen that tells you how you did. And if you won, it says ""I beat the crowd!""

What I'm having a hard time with is the other version of that screen: the one for the player who didn't beat the crowd. I've tried several variations over the past few months and still haven't gotten it right. I tried ""The crowd beat me,"" but that was really discouraging. I tried just showing the score with no comparison - only how they did - but that was confusing since the number on its own felt meaningless.

(I'm also working on a points system and a diamond-collection feature and could use advice there too, but I'll probably put that in its own post. Just mentioning it here because maybe I should think about focusing on that instead of ""you didn't beat the crowd"" ? Can I show an entirely different screen if someone didn't beat the crowd - just show them how many points they earned?)

In the meantime, the game's live here: offby.io. If you intentionally play badly, you'll get the ""non-winner"" version and see exactly what I mean.

Any suggestions for making players want to come back the next day would be hugely appreciated. Thanks in advance!",mechanic_design,somewhat difficult
"How do you feel about positional card queue instead of direct card play in card games?

Hi everyone, I'm developing a deckbuilder and would like to get your thoughts on the main card mechanic. The game is battle based, action card deckbuilder with damage/block like other deckbuilders before it. But use 2 mechanics of positional card queue and delayed card cost to create different gameplay feel and scenarios.

Positional card queue: Instead of damage/buff/debuff enemy intent being fixed to trigger at end of turn, enemy intents are put on the queue as cards. At the end of turn, cards are resolved from left to right. So player has to take in account which card should be played before enemy action and which after. This grows complex as multiple enemy intent cards are present. The card queue mechanic is supported by a status mechanic that is tied to slot instead of player character / enemy.

Delayed card cost: Strong cards instead of costing more energy to put on queue, have a higher ""time"" counter value. At the end of turn, these cards are not played but has their cost reduced by one. Player can choose to resolve their cards on queue in advanced, before turn's end for 1 energy. So player can play 2,3 cost cards this turn with additional energy cost, or later turn with positional cost.

Combined these two mechanics, I find that the game can create interesting decisions and interesting scenarios, with gameplay having the damage/block timing factor rather than just pure values.

Example queue:

| | Player card (II) | Enemy card (I) | Player card (I) | | |...",mechanic_design,easy
